ds,y,drug
2024-03-22,207,Amoxicillin 500mg
2024-03-23,186,Amoxicillin 500mg
2024-03-24,181,Amoxicillin 500mg
2024-03-25,211,Amoxicillin 500mg
2024-03-26,207,Amoxicillin 500mg
2024-03-27,207,Amoxicillin 500mg
2024-03-28,214,Amoxicillin 500mg
2024-03-29,211,Amoxicillin 500mg
2024-03-30,174,Amoxicillin 500mg
2024-03-31,186,Amoxicillin 500mg
2024-04-01,203,Amoxicillin 500mg
2024-04-02,208,Amoxicillin 500mg
2024-04-03,206,Amoxicillin 500mg
2024-04-04,205,Amoxicillin 500mg
2024-04-05,206,Amoxicillin 500mg
2024-04-06,202,Amoxicillin 500mg
2024-04-07,185,Amoxicillin 500mg
2024-04-08,201,Amoxicillin 500mg
2024-04-09,209,Amoxicillin 500mg
2024-04-10,209,Amoxicillin 500mg
2024-04-11,213,Amoxicillin 500mg
2024-04-12,213,Amoxicillin 500mg
2024-04-13,197,Amoxicillin 500mg
2024-04-14,184,Amoxicillin 500mg
2024-04-15,199,Amoxicillin 500mg
2024-04-16,210,Amoxicillin 500mg
2024-04-17,208,Amoxicillin 500mg
2024-04-18,207,Amoxicillin 500mg
2024-04-19,209,Amoxicillin 500mg
2024-04-20,189,Amoxicillin 500mg
2024-04-21,172,Amoxicillin 500mg
2024-04-22,228,Amoxicillin 500mg
2024-04-23,212,Amoxicillin 500mg
2024-04-24,204,Amoxicillin 500mg
2024-04-25,189,Amoxicillin 500mg
2024-04-26,207,Amoxicillin 500mg
2024-04-27,207,Amoxicillin 500mg
2024-04-28,188,Amoxicillin 500mg
2024-04-29,203,Amoxicillin 500mg
2024-04-30,211,Amoxicillin 500mg
2024-05-01,201,Amoxicillin 500mg
2024-05-02,206,Amoxicillin 500mg
2024-05-03,216,Amoxicillin 500mg
2024-05-04,178,Amoxicillin 500mg
2024-05-05,182,Amoxicillin 500mg
2024-05-06,227,Amoxicillin 500mg
2024-05-07,206,Amoxicillin 500mg
2024-05-08,195,Amoxicillin 500mg
2024-05-09,205,Amoxicillin 500mg
2024-05-10,198,Amoxicillin 500mg
2024-05-11,195,Amoxicillin 500mg
2024-05-12,181,Amoxicillin 500mg
2024-05-13,206,Amoxicillin 500mg
2024-05-14,191,Amoxicillin 500mg
2024-05-15,214,Amoxicillin 500mg
2024-05-16,192,Amoxicillin 500mg
2024-05-17,223,Amoxicillin 500mg
2024-05-18,192,Amoxicillin 500mg
2024-05-19,189,Amoxicillin 500mg
2024-05-20,207,Amoxicillin 500mg
2024-05-21,217,Amoxicillin 500mg
2024-05-22,225,Amoxicillin 500mg
2024-05-23,189,Amoxicillin 500mg
2024-05-24,187,Amoxicillin 500mg
2024-05-25,194,Amoxicillin 500mg
2024-05-26,182,Amoxicillin 500mg
2024-05-27,209,Amoxicillin 500mg
2024-05-28,226,Amoxicillin 500mg
2024-05-29,201,Amoxicillin 500mg
2024-05-30,213,Amoxicillin 500mg
2024-05-31,198,Amoxicillin 500mg
2024-06-01,190,Amoxicillin 500mg
2024-06-02,203,Amoxicillin 500mg
2024-06-03,220,Amoxicillin 500mg
2024-06-04,222,Amoxicillin 500mg
2024-06-05,200,Amoxicillin 500mg
2024-06-06,214,Amoxicillin 500mg
2024-06-07,230,Amoxicillin 500mg
2024-06-08,192,Amoxicillin 500mg
2024-06-09,186,Amoxicillin 500mg
2024-06-10,216,Amoxicillin 500mg
2024-06-11,210,Amoxicillin 500mg
2024-06-12,208,Amoxicillin 500mg
2024-06-13,213,Amoxicillin 500mg
2024-06-14,194,Amoxicillin 500mg
2024-06-15,200,Amoxicillin 500mg
2024-06-16,199,Amoxicillin 500mg
2024-06-17,198,Amoxicillin 500mg
2024-06-18,226,Amoxicillin 500mg
2024-06-19,220,Amoxicillin 500mg
2024-06-20,210,Amoxicillin 500mg
2024-06-21,204,Amoxicillin 500mg
2024-06-22,178,Amoxicillin 500mg
2024-06-23,206,Amoxicillin 500mg
2024-06-24,196,Amoxicillin 500mg
2024-06-25,218,Amoxicillin 500mg
2024-06-26,222,Amoxicillin 500mg
2024-06-27,212,Amoxicillin 500mg
2024-06-28,210,Amoxicillin 500mg
2024-06-29,177,Amoxicillin 500mg
2024-06-30,183,Amoxicillin 500mg
2024-07-01,196,Amoxicillin 500mg
2024-07-02,216,Amoxicillin 500mg
2024-07-03,220,Amoxicillin 500mg
2024-07-04,204,Amoxicillin 500mg
2024-07-05,196,Amoxicillin 500mg
2024-07-06,185,Amoxicillin 500mg
2024-07-07,217,Amoxicillin 500mg
2024-07-08,216,Amoxicillin 500mg
2024-07-09,203,Amoxicillin 500mg
2024-07-10,196,Amoxicillin 500mg
2024-07-11,203,Amoxicillin 500mg
2024-07-12,215,Amoxicillin 500mg
2024-07-13,176,Amoxicillin 500mg
2024-07-14,184,Amoxicillin 500mg
2024-07-15,227,Amoxicillin 500mg
2024-07-16,210,Amoxicillin 500mg
2024-07-17,213,Amoxicillin 500mg
2024-07-18,210,Amoxicillin 500mg
2024-07-19,222,Amoxicillin 500mg
2024-07-20,170,Amoxicillin 500mg
2024-07-21,191,Amoxicillin 500mg
2024-07-22,222,Amoxicillin 500mg
2024-07-23,210,Amoxicillin 500mg
2024-07-24,221,Amoxicillin 500mg
2024-07-25,225,Amoxicillin 500mg
2024-07-26,232,Amoxicillin 500mg
2024-07-27,196,Amoxicillin 500mg
2024-07-28,196,Amoxicillin 500mg
2024-07-29,210,Amoxicillin 500mg
2024-07-30,219,Amoxicillin 500mg
2024-07-31,218,Amoxicillin 500mg
2024-08-01,221,Amoxicillin 500mg
2024-08-02,230,Amoxicillin 500mg
2024-08-03,200,Amoxicillin 500mg
2024-08-04,207,Amoxicillin 500mg
2024-08-05,204,Amoxicillin 500mg
2024-08-06,217,Amoxicillin 500mg
2024-08-07,231,Amoxicillin 500mg
2024-08-08,209,Amoxicillin 500mg
2024-08-09,204,Amoxicillin 500mg
2024-08-10,190,Amoxicillin 500mg
2024-08-11,203,Amoxicillin 500mg
2024-08-12,212,Amoxicillin 500mg
2024-08-13,225,Amoxicillin 500mg
2024-08-14,214,Amoxicillin 500mg
2024-08-15,220,Amoxicillin 500mg
2024-08-16,206,Amoxicillin 500mg
2024-08-17,169,Amoxicillin 500mg
2024-08-18,202,Amoxicillin 500mg
2024-08-19,199,Amoxicillin 500mg
2024-08-20,215,Amoxicillin 500mg
2024-08-21,215,Amoxicillin 500mg
2024-08-22,197,Amoxicillin 500mg
2024-08-23,196,Amoxicillin 500mg
2024-08-24,198,Amoxicillin 500mg
2024-08-25,193,Amoxicillin 500mg
2024-08-26,200,Amoxicillin 500mg
2024-08-27,207,Amoxicillin 500mg
2024-08-28,213,Amoxicillin 500mg
2024-08-29,229,Amoxicillin 500mg
2024-08-30,222,Amoxicillin 500mg
2024-08-31,176,Amoxicillin 500mg
2024-09-01,200,Amoxicillin 500mg
2024-09-02,218,Amoxicillin 500mg
2024-09-03,194,Amoxicillin 500mg
2024-09-04,230,Amoxicillin 500mg
2024-09-05,197,Amoxicillin 500mg
2024-09-06,215,Amoxicillin 500mg
2024-09-07,206,Amoxicillin 500mg
2024-09-08,179,Amoxicillin 500mg
2024-09-09,205,Amoxicillin 500mg
2024-09-10,200,Amoxicillin 500mg
2024-09-11,227,Amoxicillin 500mg
2024-09-12,207,Amoxicillin 500mg
2024-09-13,232,Amoxicillin 500mg
2024-09-14,183,Amoxicillin 500mg
2024-09-15,205,Amoxicillin 500mg
2024-09-16,206,Amoxicillin 500mg
2024-09-17,201,Amoxicillin 500mg
2024-09-18,226,Amoxicillin 500mg
2024-09-19,186,Amoxicillin 500mg
2024-09-20,209,Amoxicillin 500mg
2024-09-21,186,Amoxicillin 500mg
2024-09-22,175,Amoxicillin 500mg
2024-09-23,220,Amoxicillin 500mg
2024-09-24,218,Amoxicillin 500mg
2024-09-25,204,Amoxicillin 500mg
2024-09-26,200,Amoxicillin 500mg
2024-09-27,228,Amoxicillin 500mg
2024-09-28,188,Amoxicillin 500mg
2024-09-29,196,Amoxicillin 500mg
2024-09-30,211,Amoxicillin 500mg
2024-10-01,219,Amoxicillin 500mg
2024-10-02,205,Amoxicillin 500mg
2024-10-03,222,Amoxicillin 500mg
2024-10-04,228,Amoxicillin 500mg
2024-10-05,203,Amoxicillin 500mg
2024-10-06,200,Amoxicillin 500mg
2024-10-07,232,Amoxicillin 500mg
2024-10-08,216,Amoxicillin 500mg
2024-10-09,214,Amoxicillin 500mg
2024-10-10,211,Amoxicillin 500mg
2024-10-11,211,Amoxicillin 500mg
2024-10-12,201,Amoxicillin 500mg
2024-10-13,201,Amoxicillin 500mg
2024-10-14,207,Amoxicillin 500mg
2024-10-15,209,Amoxicillin 500mg
2024-10-16,233,Amoxicillin 500mg
2024-10-17,222,Amoxicillin 500mg
2024-10-18,208,Amoxicillin 500mg
2024-10-19,205,Amoxicillin 500mg
2024-10-20,184,Amoxicillin 500mg
2024-10-21,227,Amoxicillin 500mg
2024-10-22,212,Amoxicillin 500mg
2024-10-23,226,Amoxicillin 500mg
2024-10-24,226,Amoxicillin 500mg
2024-10-25,227,Amoxicillin 500mg
2024-10-26,182,Amoxicillin 500mg
2024-10-27,180,Amoxicillin 500mg
2024-10-28,214,Amoxicillin 500mg
2024-10-29,216,Amoxicillin 500mg
2024-10-30,226,Amoxicillin 500mg
2024-10-31,209,Amoxicillin 500mg
2024-11-01,220,Amoxicillin 500mg
2024-11-02,193,Amoxicillin 500mg
2024-11-03,201,Amoxicillin 500mg
2024-11-04,217,Amoxicillin 500mg
2024-11-05,223,Amoxicillin 500mg
2024-11-06,215,Amoxicillin 500mg
2024-11-07,212,Amoxicillin 500mg
2024-11-08,230,Amoxicillin 500mg
2024-11-09,208,Amoxicillin 500mg
2024-11-10,191,Amoxicillin 500mg
2024-11-11,233,Amoxicillin 500mg
2024-11-12,226,Amoxicillin 500mg
2024-11-13,201,Amoxicillin 500mg
2024-11-14,223,Amoxicillin 500mg
2024-11-15,203,Amoxicillin 500mg
2024-11-16,198,Amoxicillin 500mg
2024-11-17,204,Amoxicillin 500mg
2024-11-18,212,Amoxicillin 500mg
2024-11-19,223,Amoxicillin 500mg
2024-11-20,203,Amoxicillin 500mg
2024-11-21,229,Amoxicillin 500mg
2024-11-22,224,Amoxicillin 500mg
2024-11-23,205,Amoxicillin 500mg
2024-11-24,175,Amoxicillin 500mg
2024-11-25,236,Amoxicillin 500mg
2024-11-26,271,Amoxicillin 500mg
2024-11-27,266,Amoxicillin 500mg
2024-11-28,281,Amoxicillin 500mg
2024-11-29,265,Amoxicillin 500mg
2024-11-30,253,Amoxicillin 500mg
2024-12-01,248,Amoxicillin 500mg
2024-12-02,264,Amoxicillin 500mg
2024-12-03,260,Amoxicillin 500mg
2024-12-04,281,Amoxicillin 500mg
2024-12-05,269,Amoxicillin 500mg
2024-12-06,266,Amoxicillin 500mg
2024-12-07,265,Amoxicillin 500mg
2024-12-08,246,Amoxicillin 500mg
2024-12-09,267,Amoxicillin 500mg
2024-12-10,276,Amoxicillin 500mg
2024-12-11,268,Amoxicillin 500mg
2024-12-12,278,Amoxicillin 500mg
2024-12-13,256,Amoxicillin 500mg
2024-12-14,260,Amoxicillin 500mg
2024-12-15,252,Amoxicillin 500mg
2024-12-16,265,Amoxicillin 500mg
2024-12-17,273,Amoxicillin 500mg
2024-12-18,271,Amoxicillin 500mg
2024-12-19,257,Amoxicillin 500mg
2024-12-20,258,Amoxicillin 500mg
2024-12-21,244,Amoxicillin 500mg
2024-12-22,247,Amoxicillin 500mg
2024-12-23,272,Amoxicillin 500mg
2024-12-24,277,Amoxicillin 500mg
2024-12-25,263,Amoxicillin 500mg
2024-12-26,265,Amoxicillin 500mg
2024-12-27,261,Amoxicillin 500mg
2024-12-28,263,Amoxicillin 500mg
2024-12-29,253,Amoxicillin 500mg
2024-12-30,275,Amoxicillin 500mg
2024-12-31,283,Amoxicillin 500mg
2025-01-01,289,Amoxicillin 500mg
2025-01-02,274,Amoxicillin 500mg
2025-01-03,271,Amoxicillin 500mg
2025-01-04,263,Amoxicillin 500mg
2025-01-05,271,Amoxicillin 500mg
2025-01-06,269,Amoxicillin 500mg
2025-01-07,282,Amoxicillin 500mg
2025-01-08,258,Amoxicillin 500mg
2025-01-09,263,Amoxicillin 500mg
2025-01-10,275,Amoxicillin 500mg
2025-01-11,251,Amoxicillin 500mg
2025-01-12,243,Amoxicillin 500mg
2025-01-13,268,Amoxicillin 500mg
2025-01-14,256,Amoxicillin 500mg
2025-01-15,259,Amoxicillin 500mg
2025-01-16,271,Amoxicillin 500mg
2025-01-17,265,Amoxicillin 500mg
2025-01-18,249,Amoxicillin 500mg
2025-01-19,257,Amoxicillin 500mg
2025-01-20,285,Amoxicillin 500mg
2025-01-21,273,Amoxicillin 500mg
2025-01-22,268,Amoxicillin 500mg
2025-01-23,270,Amoxicillin 500mg
2025-01-24,245,Amoxicillin 500mg
2025-01-25,253,Amoxicillin 500mg
2025-01-26,255,Amoxicillin 500mg
2025-01-27,298,Amoxicillin 500mg
2025-01-28,278,Amoxicillin 500mg
2025-01-29,285,Amoxicillin 500mg
2025-01-30,262,Amoxicillin 500mg
2025-01-31,268,Amoxicillin 500mg
2025-02-01,236,Amoxicillin 500mg
2025-02-02,242,Amoxicillin 500mg
2025-02-03,271,Amoxicillin 500mg
2025-02-04,292,Amoxicillin 500mg
2025-02-05,294,Amoxicillin 500mg
2025-02-06,272,Amoxicillin 500mg
2025-02-07,269,Amoxicillin 500mg
2025-02-08,253,Amoxicillin 500mg
2025-02-09,243,Amoxicillin 500mg
2025-02-10,264,Amoxicillin 500mg
2025-02-11,289,Amoxicillin 500mg
2025-02-12,263,Amoxicillin 500mg
2025-02-13,279,Amoxicillin 500mg
2025-02-14,283,Amoxicillin 500mg
2025-02-15,252,Amoxicillin 500mg
2025-02-16,243,Amoxicillin 500mg
2025-02-17,273,Amoxicillin 500mg
2025-02-18,281,Amoxicillin 500mg
2025-02-19,259,Amoxicillin 500mg
2025-02-20,267,Amoxicillin 500mg
2025-02-21,267,Amoxicillin 500mg
2025-02-22,267,Amoxicillin 500mg
2025-02-23,258,Amoxicillin 500mg
2025-02-24,259,Amoxicillin 500mg
2025-02-25,277,Amoxicillin 500mg
2025-02-26,265,Amoxicillin 500mg
2025-02-27,281,Amoxicillin 500mg
2025-02-28,263,Amoxicillin 500mg
2025-03-01,196,Amoxicillin 500mg
2025-03-02,202,Amoxicillin 500mg
2025-03-03,236,Amoxicillin 500mg
2025-03-04,237,Amoxicillin 500mg
2025-03-05,210,Amoxicillin 500mg
2025-03-06,205,Amoxicillin 500mg
2025-03-07,236,Amoxicillin 500mg
2025-03-08,202,Amoxicillin 500mg
2025-03-09,210,Amoxicillin 500mg
2025-03-10,254,Amoxicillin 500mg
2025-03-11,221,Amoxicillin 500mg
2025-03-12,241,Amoxicillin 500mg
2025-03-13,247,Amoxicillin 500mg
2025-03-14,227,Amoxicillin 500mg
2025-03-15,196,Amoxicillin 500mg
2025-03-16,200,Amoxicillin 500mg
2025-03-17,235,Amoxicillin 500mg
2025-03-18,205,Amoxicillin 500mg
2025-03-19,213,Amoxicillin 500mg
2025-03-20,223,Amoxicillin 500mg
2025-03-21,237,Amoxicillin 500mg
2025-03-22,198,Amoxicillin 500mg
2025-03-23,216,Amoxicillin 500mg
2025-03-24,223,Amoxicillin 500mg
2025-03-25,235,Amoxicillin 500mg
2025-03-26,217,Amoxicillin 500mg
2025-03-27,210,Amoxicillin 500mg
2025-03-28,235,Amoxicillin 500mg
2025-03-29,195,Amoxicillin 500mg
2025-03-30,202,Amoxicillin 500mg
2025-03-31,224,Amoxicillin 500mg
2025-04-01,209,Amoxicillin 500mg
2025-04-02,215,Amoxicillin 500mg
2025-04-03,227,Amoxicillin 500mg
2025-04-04,214,Amoxicillin 500mg
2025-04-05,209,Amoxicillin 500mg
2025-04-06,209,Amoxicillin 500mg
2025-04-07,238,Amoxicillin 500mg
2025-04-08,211,Amoxicillin 500mg
2025-04-09,212,Amoxicillin 500mg
2025-04-10,224,Amoxicillin 500mg
2025-04-11,249,Amoxicillin 500mg
2025-04-12,200,Amoxicillin 500mg
2025-04-13,212,Amoxicillin 500mg
2025-04-14,230,Amoxicillin 500mg
2025-04-15,231,Amoxicillin 500mg
2025-04-16,221,Amoxicillin 500mg
2025-04-17,230,Amoxicillin 500mg
2025-04-18,219,Amoxicillin 500mg
2025-04-19,211,Amoxicillin 500mg
2025-04-20,227,Amoxicillin 500mg
2025-04-21,245,Amoxicillin 500mg
2025-04-22,215,Amoxicillin 500mg
2025-04-23,217,Amoxicillin 500mg
2025-04-24,235,Amoxicillin 500mg
2025-04-25,218,Amoxicillin 500mg
2025-04-26,222,Amoxicillin 500mg
2025-04-27,212,Amoxicillin 500mg
2025-04-28,221,Amoxicillin 500mg
2025-04-29,214,Amoxicillin 500mg
2025-04-30,221,Amoxicillin 500mg
2025-05-01,236,Amoxicillin 500mg
2025-05-02,215,Amoxicillin 500mg
2025-05-03,201,Amoxicillin 500mg
2025-05-04,199,Amoxicillin 500mg
2025-05-05,230,Amoxicillin 500mg
2025-05-06,220,Amoxicillin 500mg
2025-05-07,221,Amoxicillin 500mg
2025-05-08,223,Amoxicillin 500mg
2025-05-09,224,Amoxicillin 500mg
2025-05-10,204,Amoxicillin 500mg
2025-05-11,199,Amoxicillin 500mg
2025-05-12,203,Amoxicillin 500mg
2025-05-13,228,Amoxicillin 500mg
2025-05-14,222,Amoxicillin 500mg
2025-05-15,206,Amoxicillin 500mg
2025-05-16,228,Amoxicillin 500mg
2025-05-17,209,Amoxicillin 500mg
2025-05-18,215,Amoxicillin 500mg
2025-05-19,234,Amoxicillin 500mg
2025-05-20,220,Amoxicillin 500mg
2025-05-21,220,Amoxicillin 500mg
2025-05-22,211,Amoxicillin 500mg
2025-05-23,232,Amoxicillin 500mg
2025-05-24,214,Amoxicillin 500mg
2025-05-25,218,Amoxicillin 500mg
2025-05-26,234,Amoxicillin 500mg
2025-05-27,241,Amoxicillin 500mg
2025-05-28,230,Amoxicillin 500mg
2025-05-29,233,Amoxicillin 500mg
2025-05-30,231,Amoxicillin 500mg
2025-05-31,214,Amoxicillin 500mg
2025-06-01,194,Amoxicillin 500mg
2025-06-02,232,Amoxicillin 500mg
2025-06-03,234,Amoxicillin 500mg
2025-06-04,222,Amoxicillin 500mg
2025-06-05,235,Amoxicillin 500mg
2025-06-06,231,Amoxicillin 500mg
2025-06-07,197,Amoxicillin 500mg
2025-06-08,206,Amoxicillin 500mg
2025-06-09,224,Amoxicillin 500mg
2025-06-10,227,Amoxicillin 500mg
2025-06-11,229,Amoxicillin 500mg
2025-06-12,249,Amoxicillin 500mg
2025-06-13,239,Amoxicillin 500mg
2025-06-14,188,Amoxicillin 500mg
2025-06-15,224,Amoxicillin 500mg
2025-06-16,238,Amoxicillin 500mg
2025-06-17,226,Amoxicillin 500mg
2025-06-18,223,Amoxicillin 500mg
2025-06-19,220,Amoxicillin 500mg
2025-06-20,214,Amoxicillin 500mg
2025-06-21,214,Amoxicillin 500mg
2025-06-22,206,Amoxicillin 500mg
2025-06-23,206,Amoxicillin 500mg
2025-06-24,244,Amoxicillin 500mg
2025-06-25,233,Amoxicillin 500mg
2025-06-26,229,Amoxicillin 500mg
2025-06-27,239,Amoxicillin 500mg
2025-06-28,216,Amoxicillin 500mg
2025-06-29,204,Amoxicillin 500mg
2025-06-30,240,Amoxicillin 500mg
2025-07-01,239,Amoxicillin 500mg
2025-07-02,209,Amoxicillin 500mg
2025-07-03,240,Amoxicillin 500mg
2025-07-04,239,Amoxicillin 500mg
2025-07-05,204,Amoxicillin 500mg
2025-07-06,201,Amoxicillin 500mg
2025-07-07,241,Amoxicillin 500mg
2025-07-08,238,Amoxicillin 500mg
2025-07-09,244,Amoxicillin 500mg
2025-07-10,218,Amoxicillin 500mg
2025-07-11,233,Amoxicillin 500mg
2025-07-12,203,Amoxicillin 500mg
2025-07-13,183,Amoxicillin 500mg
2025-07-14,231,Amoxicillin 500mg
2025-07-15,235,Amoxicillin 500mg
2025-07-16,221,Amoxicillin 500mg
2025-07-17,223,Amoxicillin 500mg
2025-07-18,227,Amoxicillin 500mg
2025-07-19,213,Amoxicillin 500mg
2025-07-20,208,Amoxicillin 500mg
2025-07-21,221,Amoxicillin 500mg
2025-07-22,219,Amoxicillin 500mg
2025-07-23,240,Amoxicillin 500mg
2025-07-24,227,Amoxicillin 500mg
2025-07-25,236,Amoxicillin 500mg
2025-07-26,203,Amoxicillin 500mg
2025-07-27,202,Amoxicillin 500mg
2025-07-28,253,Amoxicillin 500mg
2025-07-29,256,Amoxicillin 500mg
2025-07-30,247,Amoxicillin 500mg
2025-07-31,239,Amoxicillin 500mg
2025-08-01,242,Amoxicillin 500mg
2025-08-02,217,Amoxicillin 500mg
2025-08-03,221,Amoxicillin 500mg
2025-08-04,242,Amoxicillin 500mg
2025-08-05,231,Amoxicillin 500mg
2025-08-06,239,Amoxicillin 500mg
2025-08-07,243,Amoxicillin 500mg
2025-08-08,235,Amoxicillin 500mg
2025-08-09,203,Amoxicillin 500mg
2025-08-10,209,Amoxicillin 500mg
2025-08-11,231,Amoxicillin 500mg
2025-08-12,245,Amoxicillin 500mg
2025-08-13,233,Amoxicillin 500mg
2025-08-14,247,Amoxicillin 500mg
2025-08-15,223,Amoxicillin 500mg
2025-08-16,214,Amoxicillin 500mg
2025-08-17,191,Amoxicillin 500mg
2025-08-18,217,Amoxicillin 500mg
2025-08-19,233,Amoxicillin 500mg
2025-08-20,212,Amoxicillin 500mg
2025-08-21,229,Amoxicillin 500mg
2025-08-22,241,Amoxicillin 500mg
2025-08-23,203,Amoxicillin 500mg
2025-08-24,225,Amoxicillin 500mg
2025-08-25,222,Amoxicillin 500mg
2025-08-26,227,Amoxicillin 500mg
2025-08-27,233,Amoxicillin 500mg
2025-08-28,235,Amoxicillin 500mg
2025-08-29,235,Amoxicillin 500mg
2025-08-30,222,Amoxicillin 500mg
2025-08-31,212,Amoxicillin 500mg
2025-09-01,235,Amoxicillin 500mg
2025-09-02,226,Amoxicillin 500mg
2025-09-03,243,Amoxicillin 500mg
2025-09-04,245,Amoxicillin 500mg
2025-09-05,225,Amoxicillin 500mg
2025-09-06,212,Amoxicillin 500mg
2025-09-07,216,Amoxicillin 500mg
2025-09-08,241,Amoxicillin 500mg
2025-09-09,243,Amoxicillin 500mg
2025-09-10,236,Amoxicillin 500mg
2025-09-11,221,Amoxicillin 500mg
2025-09-12,243,Amoxicillin 500mg
2025-09-13,205,Amoxicillin 500mg
2025-09-14,223,Amoxicillin 500mg
2025-09-15,251,Amoxicillin 500mg
2025-09-16,225,Amoxicillin 500mg
2025-09-17,240,Amoxicillin 500mg
2025-09-18,254,Amoxicillin 500mg
2025-09-19,232,Amoxicillin 500mg
2025-09-20,207,Amoxicillin 500mg
2025-09-21,208,Amoxicillin 500mg
2025-09-22,224,Amoxicillin 500mg
2025-09-23,235,Amoxicillin 500mg
2025-09-24,226,Amoxicillin 500mg
2025-09-25,232,Amoxicillin 500mg
2025-09-26,242,Amoxicillin 500mg
2025-09-27,217,Amoxicillin 500mg
2025-09-28,204,Amoxicillin 500mg
2025-09-29,244,Amoxicillin 500mg
2025-09-30,238,Amoxicillin 500mg
2025-10-01,234,Amoxicillin 500mg
2025-10-02,229,Amoxicillin 500mg
2025-10-03,262,Amoxicillin 500mg
2025-10-04,228,Amoxicillin 500mg
2025-10-05,206,Amoxicillin 500mg
2025-10-06,263,Amoxicillin 500mg
2025-10-07,234,Amoxicillin 500mg
2025-10-08,239,Amoxicillin 500mg
2025-10-09,230,Amoxicillin 500mg
2025-10-10,231,Amoxicillin 500mg
2025-10-11,215,Amoxicillin 500mg
2025-10-12,213,Amoxicillin 500mg
2025-10-13,233,Amoxicillin 500mg
2025-10-14,234,Amoxicillin 500mg
2025-10-15,233,Amoxicillin 500mg
2025-10-16,247,Amoxicillin 500mg
2025-10-17,249,Amoxicillin 500mg
2025-10-18,230,Amoxicillin 500mg
2025-10-19,219,Amoxicillin 500mg
2025-10-20,236,Amoxicillin 500mg
2025-10-21,218,Amoxicillin 500mg
2025-10-22,230,Amoxicillin 500mg
2025-10-23,244,Amoxicillin 500mg
2025-10-24,247,Amoxicillin 500mg
2025-10-25,215,Amoxicillin 500mg
2025-10-26,205,Amoxicillin 500mg
2025-10-27,222,Amoxicillin 500mg
2025-10-28,238,Amoxicillin 500mg
2025-10-29,252,Amoxicillin 500mg
2025-10-30,254,Amoxicillin 500mg
2025-10-31,236,Amoxicillin 500mg
2025-11-01,231,Amoxicillin 500mg
2025-11-02,215,Amoxicillin 500mg
2025-11-03,231,Amoxicillin 500mg
2025-11-04,229,Amoxicillin 500mg
2025-11-05,249,Amoxicillin 500mg
2025-11-06,222,Amoxicillin 500mg
2025-11-07,227,Amoxicillin 500mg
2025-11-08,207,Amoxicillin 500mg
2025-11-09,217,Amoxicillin 500mg
2025-11-10,240,Amoxicillin 500mg
2025-11-11,234,Amoxicillin 500mg
2025-11-12,244,Amoxicillin 500mg
2025-11-13,229,Amoxicillin 500mg
2025-11-14,245,Amoxicillin 500mg
2025-11-15,208,Amoxicillin 500mg
2025-11-16,215,Amoxicillin 500mg
2025-11-17,229,Amoxicillin 500mg
2025-11-18,229,Amoxicillin 500mg
2025-11-19,238,Amoxicillin 500mg
2025-11-20,244,Amoxicillin 500mg
2025-11-21,229,Amoxicillin 500mg
2025-11-22,215,Amoxicillin 500mg
2025-11-23,216,Amoxicillin 500mg
2025-11-24,264,Amoxicillin 500mg
